City_Name,Country_Name
New York,USA
Berlin,Germany
Paris,France
Jerusalem,Israel
Toronto,Canada
London,UK
Rome,Italy
Vienna,Austria
Warsaw,Poland
Istanbul,Turkey
Athens,Greece
Zurich,Switzerland
Prague,Czech Republic
Vilnius,Lithuania
Riga,Latvia
Tallinn,Estonia
Brussels,Belgium
Sofia,Bulgaria
Zagreb,Croatia
Amsterdam,Netherlands
Lisbon,Portugal
Bucharest,Romania
Madrid,Spain
Stockholm,Sweden
Mexico City,Mexico
Buenos Aires,Argentina
Bratislava,Slovakia
Ljubljana,Slovenia
Budapest,Hungary
Dublin,Ireland
Helsinki,Finland
Copenhagen,Denmark
Oslo,Norway
Valletta,Malta
Nicosia,Cyprus
Darmstadt,Germany
Pittsburgh,USA
Los Angeles,USA
Chicago,USA
Seattle,USA
Bloomingdale,USA
San Diego,USA
